Date,Time,Price
17/02/2021,14:54:51,599.00
17/02/2021,14:54:58,599.00
17/02/2021,14:55:03,599.00
17/02/2021,14:55:10,599.00
17/02/2021,14:55:16,599.00
17/02/2021,15:03:45,599.00
17/02/2021,15:03:51,599.00
17/02/2021,15:08:29,599.00
17/02/2021,15:08:35,599.00
17/02/2021,15:12:39,599.00
17/02/2021,15:13:53,599.00
17/02/2021,15:15:18,599.00
17/02/2021,15:16:28,599.00
17/02/2021,15:16:36,599.00
17/02/2021,15:16:42,599.00
17/02/2021,15:20:25,599.00
17/02/2021,15:20:31,599.00
17/02/2021,15:20:37,599.00
17/02/2021,15:20:43,599.00
17/02/2021,15:20:49,599.00
17/02/2021,15:20:55,599.00
17/02/2021,15:49:18,599.00
17/02/2021,15:50:33,599.00
17/02/2021,15:51:28,599.00
17/02/2021,15:52:21,599.00
17/02/2021,15:53:36,599.00
17/02/2021,15:54:35,599.00
17/02/2021,15:55:27,599.00
17/02/2021,15:56:20,599.00
17/02/2021,15:57:29,599.00
17/02/2021,15:58:33,599.00
17/02/2021,15:59:30,599.00
17/02/2021,16:00:21,599.00
17/02/2021,16:01:15,599.00
17/02/2021,16:02:27,599.00
17/02/2021,16:03:20,599.00
17/02/2021,16:04:15,599.00
17/02/2021,16:05:10,599.00
17/02/2021,16:06:23,599.00
17/02/2021,16:07:17,599.00
17/02/2021,16:08:33,599.00
17/02/2021,16:09:24,599.00
17/02/2021,16:10:27,599.00
17/02/2021,16:11:23,599.00
17/02/2021,16:12:23,599.00
17/02/2021,16:13:38,599.00
17/02/2021,16:14:32,599.00
