Date,Time,Price
17/02/2021,14:54:51,0
17/02/2021,14:54:57,0
17/02/2021,14:55:03,0
17/02/2021,14:55:09,0
17/02/2021,14:55:15,0
17/02/2021,15:03:44,0
17/02/2021,15:03:50,0
17/02/2021,15:08:28,0
17/02/2021,15:08:34,0
17/02/2021,15:12:38,0
17/02/2021,15:13:52,0
17/02/2021,15:15:17,0
17/02/2021,15:16:27,0
17/02/2021,15:16:36,0
17/02/2021,15:16:42,0
17/02/2021,15:20:24,0
17/02/2021,15:20:30,0
17/02/2021,15:20:36,0
17/02/2021,15:20:42,0
17/02/2021,15:20:48,0
17/02/2021,15:20:55,0
17/02/2021,15:49:17,0
17/02/2021,15:50:32,0
17/02/2021,15:51:27,0
17/02/2021,15:52:20,0
17/02/2021,15:53:35,0
17/02/2021,15:54:34,0
17/02/2021,15:55:26,0
17/02/2021,15:56:20,0
17/02/2021,15:57:28,0
17/02/2021,15:58:32,0
17/02/2021,15:59:29,0
17/02/2021,16:00:20,0
17/02/2021,16:01:14,0
17/02/2021,16:02:26,0
17/02/2021,16:03:19,0
17/02/2021,16:04:14,0
17/02/2021,16:05:09,0
17/02/2021,16:06:22,0
17/02/2021,16:07:16,0
17/02/2021,16:08:32,0
17/02/2021,16:09:24,0
17/02/2021,16:10:27,0
17/02/2021,16:11:22,0
17/02/2021,16:12:22,0
17/02/2021,16:13:36,0
17/02/2021,16:14:31,0
