Date,Time,Price
17/02/2021,14:54:51,792.00
17/02/2021,14:54:57,792.00
17/02/2021,14:55:03,792.00
17/02/2021,14:55:09,792.00
17/02/2021,14:55:15,792.00
17/02/2021,15:03:45,792.00
17/02/2021,15:03:51,792.00
17/02/2021,15:08:28,792.00
17/02/2021,15:08:34,792.00
17/02/2021,15:12:39,792.00
17/02/2021,15:13:53,792.00
17/02/2021,15:15:18,792.00
17/02/2021,15:16:28,792.00
17/02/2021,15:16:36,792.00
17/02/2021,15:16:42,792.00
17/02/2021,15:20:25,792.00
17/02/2021,15:20:31,792.00
17/02/2021,15:20:37,792.00
17/02/2021,15:20:43,792.00
17/02/2021,15:20:49,792.00
17/02/2021,15:20:55,792.00
17/02/2021,15:49:17,792.00
17/02/2021,15:50:33,792.00
17/02/2021,15:51:28,792.00
17/02/2021,15:52:21,792.00
17/02/2021,15:53:36,792.00
17/02/2021,15:54:35,792.00
17/02/2021,15:55:27,792.00
17/02/2021,15:56:20,792.00
17/02/2021,15:57:28,792.00
17/02/2021,15:58:32,792.00
17/02/2021,15:59:29,792.00
17/02/2021,16:00:21,792.00
17/02/2021,16:01:15,792.00
17/02/2021,16:02:27,792.00
17/02/2021,16:03:20,792.00
17/02/2021,16:04:15,792.00
17/02/2021,16:05:10,792.00
17/02/2021,16:06:23,792.00
17/02/2021,16:07:17,792.00
17/02/2021,16:08:33,792.00
17/02/2021,16:09:24,792.00
17/02/2021,16:10:27,792.00
17/02/2021,16:11:23,792.00
17/02/2021,16:12:23,792.00
17/02/2021,16:13:37,792.00
17/02/2021,16:14:32,792.00
