Date,Time,Price
17/02/2021,14:54:51,839.00
17/02/2021,14:54:57,839.00
17/02/2021,14:55:03,839.00
17/02/2021,14:55:09,839.00
17/02/2021,14:55:15,839.00
17/02/2021,15:03:45,839.00
17/02/2021,15:03:51,839.00
17/02/2021,15:08:28,839.00
17/02/2021,15:08:34,839.00
17/02/2021,15:12:39,839.00
17/02/2021,15:13:53,839.00
17/02/2021,15:15:18,839.00
17/02/2021,15:16:28,839.00
17/02/2021,15:16:36,839.00
17/02/2021,15:16:42,839.00
17/02/2021,15:20:25,839.00
17/02/2021,15:20:31,839.00
17/02/2021,15:20:37,839.00
17/02/2021,15:20:43,839.00
17/02/2021,15:20:49,839.00
17/02/2021,15:20:55,839.00
17/02/2021,15:49:17,839.00
17/02/2021,15:50:32,839.00
17/02/2021,15:51:27,839.00
17/02/2021,15:52:21,839.00
17/02/2021,15:53:36,839.00
17/02/2021,15:54:35,839.00
17/02/2021,15:55:27,839.00
17/02/2021,15:56:20,839.00
17/02/2021,15:57:28,839.00
17/02/2021,15:58:32,839.00
17/02/2021,15:59:29,839.00
17/02/2021,16:00:20,839.00
17/02/2021,16:01:14,839.00
17/02/2021,16:02:27,839.00
17/02/2021,16:03:20,839.00
17/02/2021,16:04:15,839.00
17/02/2021,16:05:10,839.00
17/02/2021,16:06:23,839.00
17/02/2021,16:07:17,839.00
17/02/2021,16:08:33,839.00
17/02/2021,16:09:24,839.00
17/02/2021,16:10:27,839.00
17/02/2021,16:11:22,839.00
17/02/2021,16:12:23,839.00
17/02/2021,16:13:37,839.00
17/02/2021,16:14:32,839.00
